銘柄名称,市場名称,足種,日付,時刻,始値,高値,安値,終値,出来高,H_Open,H_High,H_Low,H_Close,TREND,EP,AF,PSAR,Period,Diff
,,,2025/01/29,10:39,1972.5 ,1974.5 ,1972.5 ,1974.0 ,97100,1972.56 ,1974.50 ,1972.50 ,1973.38 ,1,1972.50 ,0.02 ,1971.00 ,0,
,,,2025/01/29,10:40,1974.5 ,1974.5 ,1973.5 ,1974.0 ,67800,1972.97 ,1974.50 ,1972.97 ,1974.13 ,1,1974.50 ,0.04 ,1971.14 ,1,0.0 
,,,2025/01/29,10:41,1974.0 ,1975.0 ,1974.0 ,1975.0 ,188600,1973.55 ,1975.00 ,1973.55 ,1974.50 ,1,1975.00 ,0.06 ,1971.37 ,2,1.0 
,,,2025/01/29,10:42,1975.0 ,1975.5 ,1974.5 ,1975.0 ,14700,1974.02 ,1975.50 ,1974.02 ,1975.00 ,1,1975.50 ,0.08 ,1971.70 ,3,1.0 
,,,2025/01/29,10:43,1975.0 ,1976.0 ,1975.0 ,1976.0 ,175000,1974.51 ,1976.00 ,1974.51 ,1975.50 ,1,1976.00 ,0.10 ,1972.13 ,4,2.0 
,,,2025/01/29,10:44,1976.5 ,1976.5 ,1975.0 ,1976.0 ,114900,1975.01 ,1976.50 ,1975.00 ,1976.00 ,1,1976.50 ,0.12 ,1972.66 ,5,2.0 
,,,2025/01/29,10:45,1975.5 ,1976.5 ,1975.0 ,1976.0 ,63300,1975.50 ,1976.50 ,1975.00 ,1975.75 ,1,1976.50 ,0.12 ,1973.12 ,6,2.0 
,,,2025/01/29,10:46,1976.0 ,1977.0 ,1975.0 ,1975.0 ,240700,1975.63 ,1977.00 ,1975.00 ,1975.75 ,1,1977.00 ,0.14 ,1973.66 ,7,1.0 
,,,2025/01/29,10:47,1975.5 ,1976.0 ,1974.5 ,1975.0 ,93100,1975.69 ,1976.00 ,1974.50 ,1975.25 ,1,1977.00 ,0.14 ,1974.13 ,8,1.0 
,,,2025/01/29,10:48,1975.0 ,1975.0 ,1974.5 ,1975.0 ,67200,1975.47 ,1975.47 ,1974.50 ,1974.88 ,1,1977.00 ,0.14 ,1974.53 ,9,1.0 
,,,2025/01/29,10:49,1975.0 ,1975.0 ,1974.0 ,1974.5 ,81800,1975.17 ,1975.17 ,1974.00 ,1974.63 ,-1,1975.17 ,0.02 ,1977.00 ,0,
,,,2025/01/29,10:50,1974.0 ,1975.0 ,1974.0 ,1975.0 ,13500,1974.90 ,1975.00 ,1974.00 ,1974.50 ,-1,1974.00 ,0.04 ,1976.88 ,1,-0.5 
,,,2025/01/29,10:51,1975.0 ,1976.0 ,1974.5 ,1975.5 ,167700,1974.70 ,1976.00 ,1974.50 ,1975.25 ,-1,1974.00 ,0.04 ,1976.76 ,2,-1.0 
,,,2025/01/29,10:52,1975.0 ,1975.5 ,1974.5 ,1975.0 ,38500,1974.97 ,1975.50 ,1974.50 ,1975.00 ,-1,1974.00 ,0.04 ,1976.65 ,3,-0.5 
,,,2025/01/29,10:53,1975.0 ,1975.5 ,1975.0 ,1975.0 ,33500,1974.99 ,1975.50 ,1974.99 ,1975.13 ,-1,1974.00 ,0.04 ,1976.55 ,4,-0.5 
,,,2025/01/29,10:54,1975.0 ,1975.5 ,1974.5 ,1974.5 ,36100,1975.06 ,1975.50 ,1974.50 ,1974.88 ,-1,1974.00 ,0.04 ,1976.45 ,5,0.0 
,,,2025/01/29,10:55,1974.5 ,1975.0 ,1974.0 ,1975.0 ,95200,1974.97 ,1975.00 ,1974.00 ,1974.63 ,-1,1974.00 ,0.04 ,1976.35 ,6,-0.5 
,,,2025/01/29,10:56,1975.0 ,1975.5 ,1974.0 ,1974.0 ,102200,1974.80 ,1975.50 ,1974.00 ,1974.63 ,-1,1974.00 ,0.04 ,1976.25 ,7,0.5 
,,,2025/01/29,10:57,1974.5 ,1974.5 ,1974.0 ,1974.5 ,54100,1974.71 ,1974.71 ,1974.00 ,1974.38 ,-1,1974.00 ,0.04 ,1976.16 ,8,0.0 
,,,2025/01/29,10:58,1974.5 ,1975.0 ,1974.0 ,1975.0 ,45100,1974.54 ,1975.00 ,1974.00 ,1974.63 ,-1,1974.00 ,0.04 ,1976.08 ,9,-0.5 
,,,2025/01/29,10:59,1975.0 ,1976.0 ,1974.5 ,1975.5 ,91300,1974.58 ,1976.00 ,1974.50 ,1975.25 ,-1,1974.00 ,0.04 ,1975.99 ,10,-1.0 
,,,2025/01/29,11:00,1975.5 ,1976.5 ,1975.5 ,1976.0 ,192300,1974.92 ,1976.50 ,1974.92 ,1975.88 ,1,1974.92 ,0.02 ,1974.00 ,0,
,,,2025/01/29,11:01,1976.5 ,1977.0 ,1976.0 ,1976.5 ,44800,1975.40 ,1977.00 ,1975.40 ,1976.50 ,1,1977.00 ,0.04 ,1974.12 ,1,0.5 
,,,2025/01/29,11:02,1976.5 ,1977.5 ,1976.5 ,1977.0 ,137600,1975.95 ,1977.50 ,1975.95 ,1976.88 ,1,1977.50 ,0.06 ,1974.32 ,2,1.0 
,,,2025/01/29,11:03,1977.5 ,1977.5 ,1976.5 ,1977.0 ,99600,1976.41 ,1977.50 ,1976.41 ,1977.13 ,1,1977.50 ,0.06 ,1974.51 ,3,1.0 
,,,2025/01/29,11:04,1976.5 ,1978.5 ,1976.5 ,1978.0 ,322400,1976.77 ,1978.50 ,1976.50 ,1977.38 ,1,1978.50 ,0.08 ,1974.83 ,4,2.0 
,,,2025/01/29,11:05,1977.5 ,1978.5 ,1977.0 ,1977.5 ,107300,1977.07 ,1978.50 ,1977.00 ,1977.63 ,1,1978.50 ,0.08 ,1975.13 ,5,1.5 
,,,2025/01/29,11:06,1978.0 ,1979.5 ,1978.0 ,1979.5 ,336500,1977.35 ,1979.50 ,1977.35 ,1978.75 ,1,1979.50 ,0.10 ,1975.56 ,6,3.5 
,,,2025/01/29,11:07,1979.5 ,1979.5 ,1978.5 ,1979.0 ,79100,1978.05 ,1979.50 ,1978.05 ,1979.13 ,1,1979.50 ,0.10 ,1975.96 ,7,3.0 
,,,2025/01/29,11:08,1978.5 ,1979.5 ,1978.5 ,1978.5 ,153200,1978.59 ,1979.50 ,1978.50 ,1978.75 ,1,1979.50 ,0.10 ,1976.31 ,8,2.5 
,,,2025/01/29,11:09,1978.5 ,1979.0 ,1978.5 ,1978.5 ,12900,1978.67 ,1979.00 ,1978.50 ,1978.63 ,1,1979.50 ,0.10 ,1976.63 ,9,2.5 
,,,2025/01/29,11:10,1979.0 ,1980.0 ,1979.0 ,1979.5 ,613500,1978.65 ,1980.00 ,1978.65 ,1979.38 ,1,1980.00 ,0.12 ,1977.03 ,10,3.5 
,,,2025/01/29,11:11,1979.5 ,1980.0 ,1978.5 ,1979.0 ,150800,1979.01 ,1980.00 ,1978.50 ,1979.25 ,1,1980.00 ,0.12 ,1977.39 ,11,3.0 
