Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-27 09:05:00,1827.5,1829.0,1826.0,1826.0,0,0.0,0.0
2024-12-27 09:06:00,1826.0,1829.0,1825.5,1828.5,155400,0.0,0.0
2024-12-27 09:07:00,1829.0,1832.5,1828.0,1829.5,375300,0.0,0.0
2024-12-27 09:08:00,1830.0,1831.5,1829.0,1829.5,125800,0.0,0.0
2024-12-27 09:09:00,1829.0,1831.0,1828.0,1831.0,237900,0.0,0.0
2024-12-27 09:10:00,1830.5,1831.5,1828.5,1830.5,222900,0.0,0.0
2024-12-27 09:11:00,1830.5,1832.0,1830.0,1831.0,204600,0.0,0.0
2024-12-27 09:12:00,1831.0,1832.0,1829.0,1829.5,161600,0.0,0.0
2024-12-27 09:13:00,1829.0,1830.5,1828.5,1829.0,112100,0.0,0.0
2024-12-27 09:14:00,1829.5,1832.0,1829.0,1831.0,240400,0.0,0.0
2024-12-27 09:15:00,1831.5,1832.0,1829.5,1831.5,242600,0.0,0.0
2024-12-27 09:16:00,1831.0,1831.5,1830.0,1831.0,291500,0.0,0.0
2024-12-27 09:17:00,1831.5,1834.5,1831.0,1834.5,528400,0.0,0.0
2024-12-27 09:18:00,1834.0,1834.5,1833.0,1833.5,96500,0.0,0.0
2024-12-27 09:19:00,1834.0,1837.0,1834.0,1836.0,609300,0.0,0.0
2024-12-27 09:20:00,1836.5,1836.5,1833.5,1833.5,178700,0.0,0.0
2024-12-27 09:21:00,1834.0,1834.0,1832.0,1833.0,110800,0.0,0.0
2024-12-27 09:22:00,1834.0,1834.5,1833.5,1834.5,125600,0.0,0.0
2024-12-27 09:23:00,1834.5,1835.0,1832.5,1834.0,201100,0.0,0.0
2024-12-27 09:24:00,1833.0,1834.5,1833.0,1834.5,60600,0.0,0.0
2024-12-27 09:25:00,1835.0,1835.5,1833.5,1834.0,159100,0.0,0.0
2024-12-27 09:26:00,1834.0,1834.5,1833.5,1833.5,53700,0.0,0.0
2024-12-27 09:27:00,1834.0,1834.5,1833.5,1834.0,41600,0.0,0.0
2024-12-27 09:28:00,1834.5,1835.5,1833.5,1835.0,95600,0.0,0.0
2024-12-27 09:29:00,1834.5,1837.0,1834.0,1837.0,197900,0.0,0.0
2024-12-27 09:30:00,1837.0,1837.0,1835.5,1836.0,128600,0.0,0.0
2024-12-27 09:31:00,1835.5,1836.0,1832.5,1833.5,429400,0.0,0.0
2024-12-27 09:32:00,1833.5,1834.0,1833.0,1833.5,98100,0.0,0.0
2024-12-27 09:33:00,1833.5,1835.0,1833.5,1834.5,97800,0.0,0.0
2024-12-27 09:34:00,1834.0,1835.0,1833.5,1833.5,38800,0.0,0.0
2024-12-27 09:35:00,1833.5,1834.0,1832.0,1832.0,104000,0.0,0.0
2024-12-27 09:36:00,1832.0,1833.5,1832.0,1833.5,62600,0.0,0.0
2024-12-27 09:37:00,1833.0,1834.0,1832.5,1833.5,55300,0.0,0.0
2024-12-27 09:38:00,1833.5,1833.5,1831.5,1832.0,160700,0.0,0.0
2024-12-27 09:39:00,1832.5,1833.0,1832.0,1833.0,24800,0.0,0.0
2024-12-27 09:40:00,1833.0,1833.0,1832.0,1832.5,44100,0.0,0.0
2024-12-27 09:41:00,1832.0,1833.0,1831.0,1831.5,58000,0.0,0.0
2024-12-27 09:42:00,1831.5,1832.0,1831.0,1831.5,50400,0.0,0.0
2024-12-27 09:43:00,1831.5,1832.0,1830.5,1830.5,40300,0.0,0.0
2024-12-27 09:44:00,1830.5,1832.0,1830.0,1830.5,109000,0.0,0.0
2024-12-27 09:45:00,1831.0,1831.5,1829.0,1831.0,240600,0.0,0.0
2024-12-27 09:46:00,1831.0,1832.5,1830.0,1832.0,139000,0.0,0.0
2024-12-27 09:47:00,1832.0,1832.5,1832.0,1832.5,49800,0.0,0.0
2024-12-27 09:48:00,1832.5,1832.5,1831.0,1831.5,85100,0.0,0.0
2024-12-27 09:49:00,1832.0,1832.5,1831.5,1832.0,37500,0.0,0.0
2024-12-27 09:50:00,1832.0,1832.5,1831.5,1832.0,30200,0.0,0.0
2024-12-27 09:51:00,1832.0,1833.0,1831.5,1832.5,76800,0.0,0.0
2024-12-27 09:52:00,1832.0,1833.0,1832.0,1833.0,18600,0.0,0.0
2024-12-27 09:53:00,1832.5,1833.0,1832.0,1833.0,16200,0.0,0.0
2024-12-27 09:54:00,1832.5,1834.0,1832.5,1833.0,178000,0.0,0.0
2024-12-27 09:55:00,1832.5,1833.5,1832.0,1832.5,29600,0.0,0.0
2024-12-27 09:56:00,1832.5,1833.5,1832.0,1832.5,73400,0.0,0.0
2024-12-27 09:57:00,1832.0,1833.0,1832.0,1832.5,25200,0.0,0.0
2024-12-27 09:58:00,1832.5,1833.5,1832.0,1833.0,55100,0.0,0.0
2024-12-27 09:59:00,1833.0,1833.5,1832.5,1832.5,46000,0.0,0.0
2024-12-27 10:00:00,1833.5,1833.5,1833.0,1833.0,34500,0.0,0.0
2024-12-27 10:01:00,1833.0,1833.5,1832.0,1833.0,71700,0.0,0.0
2024-12-27 10:02:00,1833.0,1833.5,1832.5,1833.0,38400,0.0,0.0
2024-12-27 10:03:00,1833.0,1833.5,1831.5,1832.0,61800,0.0,0.0
2024-12-27 10:04:00,1832.0,1833.0,1832.0,1832.5,29300,0.0,0.0
2024-12-27 10:05:00,1832.0,1832.5,1831.5,1831.5,60400,0.0,0.0
2024-12-27 10:06:00,1831.0,1831.5,1831.0,1831.5,17900,0.0,0.0
2024-12-27 10:07:00,1831.5,1831.5,1830.5,1830.5,34000,0.0,0.0
2024-12-27 10:08:00,1831.0,1831.5,1830.5,1830.5,26300,0.0,0.0
2024-12-27 10:09:00,1831.0,1831.5,1830.5,1830.5,33200,0.0,0.0
2024-12-27 10:10:00,1830.5,1831.5,1829.5,1831.0,162600,0.0,0.0
2024-12-27 10:11:00,1831.0,1831.5,1831.0,1831.0,97400,0.0,0.0
2024-12-27 10:12:00,1831.5,1832.0,1831.0,1831.5,29200,0.0,0.0
2024-12-27 10:13:00,1832.0,1832.0,1830.5,1831.5,31000,0.0,0.0
2024-12-27 10:14:00,1831.0,1831.5,1830.5,1831.0,19100,0.0,0.0
2024-12-27 10:15:00,1831.5,1832.0,1830.5,1832.0,62400,0.0,0.0
