銘柄名称,市場名称,足種,日付,時刻,始値,高値,安値,終値,出来高,H_Open,H_High,H_Low,H_Close,TREND,EP,AF,PSAR,Period,Diff,Slope,IQR
三菱ＵＦＪフィナンシャルＧ,東証,1M,2025/03/05,15:30,1927.5 ,1927.5 ,1927.5 ,1927.5 ,6089900,,,,,,,,,,,,
,,,2025/03/06,09:00,1935.0 ,1942.5 ,1935.0 ,1941.5 ,3095900,,,,,,,,,,,,
,,,2025/03/06,09:01,1941.5 ,1944.0 ,1941.5 ,1942.5 ,489600,1938.50 ,1944.00 ,1938.50 ,1942.38 ,,,,,,,,
,,,2025/03/06,09:02,1942.0 ,1943.0 ,1937.5 ,1937.5 ,623300,1940.44 ,1943.00 ,1937.50 ,1940.00 ,-1,1937.50 ,0.02 ,1937.50 ,0,0.0 ,,4.00 
,,,2025/03/06,09:03,1937.5 ,1942.0 ,1937.5 ,1938.5 ,703800,1940.22 ,1942.00 ,1937.50 ,1938.88 ,1,1942.00 ,0.02 ,1937.50 ,0,0.0 ,,3.00 
,,,2025/03/06,09:04,1938.5 ,1940.5 ,1938.5 ,1938.5 ,331700,1939.55 ,1940.50 ,1938.50 ,1939.00 ,1,1942.00 ,0.02 ,1937.59 ,1,0.0 ,0.0 ,0.63 
,,,2025/03/06,09:05,1939.0 ,1939.0 ,1934.5 ,1935.5 ,526800,1939.27 ,1939.27 ,1934.50 ,1937.00 ,-1,1939.27 ,0.02 ,1942.00 ,0,0.0 ,,4.13 
,,,2025/03/06,09:06,1936.0 ,1937.5 ,1935.0 ,1936.5 ,296500,1938.14 ,1938.14 ,1935.00 ,1936.25 ,-1,1935.00 ,0.04 ,1941.72 ,1,-1.0 ,-1.0 ,1.00 
,,,2025/03/06,09:07,1936.0 ,1937.0 ,1935.0 ,1936.5 ,109400,1937.19 ,1937.19 ,1935.00 ,1936.13 ,-1,1935.00 ,0.04 ,1941.45 ,2,-1.0 ,0.0 ,0.50 
,,,2025/03/06,09:08,1937.0 ,1938.5 ,1936.5 ,1937.5 ,229800,1936.66 ,1938.50 ,1936.50 ,1937.38 ,-1,1935.00 ,0.04 ,1941.19 ,3,-2.0 ,-1.0 ,1.50 
,,,2025/03/06,09:09,1937.5 ,1938.0 ,1936.0 ,1936.5 ,173000,1937.02 ,1938.00 ,1936.00 ,1937.00 ,-1,1935.00 ,0.04 ,1940.95 ,4,-1.0 ,1.0 ,0.50 
,,,2025/03/06,09:10,1936.5 ,1939.0 ,1935.0 ,1937.5 ,398900,1937.01 ,1939.00 ,1935.00 ,1937.00 ,-1,1935.00 ,0.04 ,1940.71 ,5,-2.0 ,-1.0 ,1.00 
,,,2025/03/06,09:11,1937.5 ,1938.5 ,1936.5 ,1938.0 ,67400,1937.00 ,1938.50 ,1936.50 ,1937.63 ,-1,1935.00 ,0.04 ,1940.48 ,6,-2.5 ,-0.5 ,0.50 
,,,2025/03/06,09:12,1938.0 ,1938.5 ,1937.5 ,1938.0 ,61500,1937.31 ,1938.50 ,1937.31 ,1938.00 ,-1,1935.00 ,0.04 ,1940.26 ,7,-2.5 ,0.0 ,1.00 
,,,2025/03/06,09:13,1938.5 ,1940.5 ,1938.0 ,1940.5 ,389900,1937.66 ,1940.50 ,1937.66 ,1939.38 ,1,1937.66 ,0.02 ,1935.00 ,0,0.0 ,,0.50 
,,,2025/03/06,09:14,1941.0 ,1941.0 ,1939.5 ,1940.5 ,71000,1938.52 ,1941.00 ,1938.52 ,1940.50 ,1,1941.00 ,0.04 ,1935.24 ,1,0.0 ,0.0 ,2.00 
,,,2025/03/06,09:15,1941.0 ,1941.0 ,1936.0 ,1938.0 ,348300,1939.51 ,1941.00 ,1936.00 ,1939.00 ,1,1941.00 ,0.04 ,1935.47 ,2,-2.5 ,-2.5 ,2.50 
,,,2025/03/06,09:16,1938.0 ,1938.0 ,1936.0 ,1936.0 ,114200,1939.25 ,1939.25 ,1936.00 ,1937.00 ,1,1941.00 ,0.04 ,1935.69 ,3,-4.5 ,-2.0 ,1.00 
,,,2025/03/06,09:17,1936.0 ,1937.5 ,1936.0 ,1936.0 ,106700,1938.13 ,1938.13 ,1936.00 ,1936.38 ,1,1941.00 ,0.04 ,1935.90 ,4,-4.5 ,0.0 ,0.50 
,,,2025/03/06,09:18,1936.0 ,1937.0 ,1935.0 ,1937.0 ,66600,1937.25 ,1937.25 ,1935.00 ,1936.25 ,-1,1937.25 ,0.02 ,1941.00 ,0,0.0 ,,1.00 
,,,2025/03/06,09:19,1937.0 ,1941.0 ,1937.0 ,1939.0 ,1072200,1936.75 ,1941.00 ,1936.75 ,1938.50 ,-1,1936.75 ,0.04 ,1940.83 ,1,-2.0 ,-2.0 ,3.88 
,,,2025/03/06,09:20,1940.0 ,1941.5 ,1939.0 ,1940.5 ,409100,1937.63 ,1941.50 ,1937.63 ,1940.25 ,1,1937.63 ,0.02 ,1936.75 ,0,0.0 ,,0.50 
,,,2025/03/06,09:21,1940.0 ,1940.5 ,1939.5 ,1939.5 ,133400,1938.94 ,1940.50 ,1938.94 ,1939.88 ,1,1940.50 ,0.04 ,1936.90 ,1,-1.0 ,-1.0 ,0.50 
