銘柄名称,市場名称,足種,日付,時刻,始値,高値,安値,終値,出来高,H_Open,H_High,H_Low,H_Close,TREND,EP,AF,PSAR,Period,Diff,Slope,IQR
三菱ＵＦＪフィナンシャルＧ,東証,1M,2025/03/04,15:30,1932,1932,1932,1932,5010700,,,,,,,,,,,,
,,,2025/03/05,09:00,1910,1920,1910,1920,3277200,,,,,,,,,,,,
,,,2025/03/05,09:01,1919,1922.5,1918,1918.5,603600,1915,1922.5,1915,1919.5,,,,,,,,
,,,2025/03/05,09:02,1918.5,1919,1914.5,1917.5,469500,1917.25,1919,1914.5,1917.38,-1,1914.5,0.02,1914.5,0,0.0,,3.50
,,,2025/03/05,09:03,1918,1921,1917.5,1918.5,375000,1917.31,1921,1917.31,1918.75,1,1921,0.02,1914.5,0,0.0,,3.50
,,,2025/03/05,09:04,1918.5,1918.5,1912.5,1913.5,315700,1918.03,1918.5,1912.5,1915.75,-1,1918.5,0.02,1921,0,0.0,,4.00
,,,2025/03/05,09:05,1913.5,1914,1910.5,1911.5,369700,1916.89,1916.89,1910.5,1912.38,-1,1910.5,0.04,1920.58,1,2.0,2.0,3.00
,,,2025/03/05,09:06,1911.5,1915.5,1910.5,1914,311600,1914.63,1915.5,1910.5,1912.88,-1,1910.5,0.04,1920.18,2,-0.5,-2.5,1.50
,,,2025/03/05,09:07,1914,1915,1913,1914,167400,1913.75,1915,1913,1914,-1,1910.5,0.04,1919.79,3,-0.5,0.0,2.00
,,,2025/03/05,09:08,1914.5,1914.5,1912,1913,153300,1913.88,1914.5,1912,1913.5,-1,1910.5,0.04,1919.42,4,0.5,1.0,1.00
,,,2025/03/05,09:09,1913,1915,1912,1914.5,155000,1913.69,1915,1912,1913.63,-1,1910.5,0.04,1919.06,5,-1.0,-1.5,0.50
,,,2025/03/05,09:10,1914.5,1918,1914.5,1918,153600,1913.66,1918,1913.66,1916.25,-1,1910.5,0.04,1918.72,6,-4.5,-3.5,4.38
,,,2025/03/05,09:11,1917.5,1920.5,1917,1919.5,267000,1914.95,1920.5,1914.95,1918.63,1,1914.95,0.02,1910.5,0,0.0,,1.50
,,,2025/03/05,09:12,1920,1920.5,1918,1919.5,154800,1916.79,1920.5,1916.79,1919.5,1,1920.5,0.04,1910.9,1,0.0,0.0,0.50
,,,2025/03/05,09:13,1919.5,1921.5,1919.5,1920.5,246300,1918.14,1921.5,1918.14,1920.25,1,1921.5,0.06,1911.54,2,1.0,1.0,1.00
,,,2025/03/05,09:14,1921,1924,1921,1923.5,233800,1919.2,1924,1919.2,1922.38,1,1924,0.08,1912.53,3,4.0,3.0,1.50
,,,2025/03/05,09:15,1924,1925,1922,1922.5,403300,1920.79,1925,1920.79,1923.38,1,1925,0.1,1913.78,4,3.0,-1.0,2.00
,,,2025/03/05,09:16,1923,1924.5,1922,1923,154500,1922.08,1924.5,1922,1923.13,1,1925,0.1,1914.9,5,3.5,0.5,0.50
,,,2025/03/05,09:17,1922.5,1924,1922,1923.5,100300,1922.6,1924,1922,1923,1,1925,0.1,1915.91,6,4.0,0.5,0.50
,,,2025/03/05,09:18,1923,1924,1919.5,1919.5,153200,1922.8,1924,1919.5,1921.5,1,1925,0.1,1916.82,7,0.0,-4.0,1.50
,,,2025/03/05,09:19,1919.5,1920,1917.5,1919.5,210600,1922.15,1922.15,1917.5,1919.13,1,1925,0.1,1917.64,8,0.0,0.0,3.25
,,,2025/03/05,09:20,1919,1920.5,1916.5,1916.5,119800,1920.64,1920.64,1916.5,1918.13,-1,1920.64,0.02,1925,0,0.0,,1.00
,,,2025/03/05,09:21,1917,1917.5,1915,1915.5,125900,1919.38,1919.38,1915,1916.25,-1,1915,0.04,1924.6,1,1.0,1.0,2.88
,,,2025/03/05,09:22,1915.5,1916,1912.5,1913,268300,1917.82,1917.82,1912.5,1914.25,-1,1912.5,0.06,1923.87,2,3.5,2.5,2.25
,,,2025/03/05,09:23,1913.5,1914,1912,1913,86700,1916.03,1916.03,1912,1913.13,-1,1912,0.08,1922.92,3,3.5,0.0,1.00
,,,2025/03/05,09:24,1913,1913,1911,1911.5,194300,1914.58,1914.58,1911,1912.13,-1,1911,0.1,1921.73,4,5.0,1.5,1.50
,,,2025/03/05,09:25,1912,1912,1908,1908.5,700500,1913.35,1913.35,1908,1910.13,-1,1908,0.12,1920.08,5,8.0,3.0,3.00
,,,2025/03/05,09:26,1908,1908.5,1904.5,1905.5,546400,1911.74,1911.74,1904.5,1906.63,-1,1904.5,0.14,1917.9,6,11.0,3.0,2.00
,,,2025/03/05,09:27,1905.5,1907,1904,1906.5,196500,1909.18,1909.18,1904,1905.75,-1,1904,0.16,1915.68,7,10.0,-1.0,1.50
,,,2025/03/05,09:28,1906.5,1912,1906.5,1910.5,198900,1907.47,1912,1906.5,1908.88,-1,1904,0.16,1913.81,8,6.0,-4.0,5.00
,,,2025/03/05,09:29,1911,1912.5,1911,1912,114600,1908.17,1912.5,1908.17,1911.63,-1,1904,0.16,1912.24,9,4.5,-1.5,1.50
,,,2025/03/05,09:30,1912.5,1913.5,1912,1913,115300,1909.9,1913.5,1909.9,1912.75,1,1909.9,0.02,1904,0,0.0,,1.50
,,,2025/03/05,09:31,1913,1913,1910,1910.5,132600,1911.32,1913,1910,1911.63,1,1913,0.04,1904.36,1,-2.5,-2.5,2.00
