Time,Price
09:00:00,1974.5 
09:00:01,1974.0 
09:00:04,1971.5 
09:00:06,1974.0 
09:00:08,1971.5 
09:00:10,1971.5 
09:00:12,1971.0 
09:00:14,1968.5 
09:00:16,1969.0 
09:00:18,1969.5 
09:00:20,1969.0 
09:00:22,1969.0 
09:00:24,1970.0 
09:00:26,1969.0 
09:00:28,1969.0 
09:00:31,1967.5 
09:00:33,1966.5 
09:00:34,1965.5 
09:00:37,1965.5 
09:00:39,1964.5 
09:00:40,1965.5 
09:00:42,1965.0 
09:00:44,1967.5 
09:00:46,1969.0 
09:00:48,1969.0 
09:00:50,1967.5 
09:00:52,1967.5 
09:00:54,1967.0 
09:00:56,1969.0 
09:00:58,1967.5 
09:01:00,1968.0 
09:01:03,1969.5 
09:01:05,1969.5 
09:01:07,1969.5 
09:01:09,1971.0 
09:01:11,1971.5 
09:01:13,1971.0 
09:01:15,1971.5 
09:01:16,1971.5 
09:01:18,1972.5 
09:01:20,1972.0 
09:01:22,1971.5 
09:01:24,1972.0 
09:01:26,1971.5 
09:01:29,1971.5 
09:01:31,1969.5 
09:01:33,1970.0 
09:01:35,1969.5 
09:01:37,1970.0 
09:01:38,1969.5 
09:01:41,1971.0 
09:01:43,1970.5 
09:01:45,1969.5 
09:01:47,1968.0 
09:01:49,1967.5 
09:01:51,1968.0 
09:01:52,1967.0 
09:01:54,1967.0 
09:01:56,1965.0 
09:01:58,1966.0 
09:02:00,1966.5 
09:02:03,1968.0 
09:02:05,1968.5 
09:02:06,1968.5 
09:02:09,1969.0 
09:02:11,1968.5 
09:02:12,1969.0 
09:02:15,1968.5 
09:02:17,1968.0 
09:02:19,1967.5 
09:02:21,1967.0 
09:02:23,1967.5 
09:02:25,1967.5 
09:02:27,1966.0 
09:02:29,1965.5 
09:02:30,1965.0 
09:02:32,1966.0 
09:02:34,1965.5 
09:02:36,1965.0 
09:02:38,1966.5 
09:02:41,1967.5 
09:02:43,1968.0 
09:02:45,1970.5 
09:02:47,1970.0 
09:02:48,1970.5 
